"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Albright College","1621 N. 13th St., Reading, Pennsylvania 19612-5234","www.albright.edu/home/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Small","Yes","1498","1298","42%","NA","Fall 2017","$22,116","-","210571","00322900"
"Alcorn State University","1000 ASU Dr Ste 359, Alcorn State, Mississippi 39096-7500","www.alcorn.edu/","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Rural: Remote","Yes","2933","2431","46%","NA","Fall 2017","$13,155","-","175342","00239600"
"Alder Graduate School of Education","2946 Broadway, Redwood City, California 94062","https://aldergse.edu/","4-year, Private not-for-profit","Master's degree","City: Small","No","322","","NA","NA","Fall 2017","NA","-","495192","04287000"
"Alexandria Technical & Community College","1601 Jefferson Streeet, Alexandria, Minnesota 56308","www.alextech.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Town: Remote","No","2865","2865","61%","12%","Fall 2020","$13,947","-","172918","00554400"
"Alfred University","One Saxon Drive, Alfred, New York 14802-1205","www.alfred.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Rural: Distant","Yes","1813","1347","56%","25%","Fall 2017","$26,127","-","188641","00266800"
"Alhambra Medical University","2215 W. Mission Road, Alhambra, California 91803","www.amu.edu/","4-year, Private for-profit","Master's degree|Doctor's degree - professional practice","Suburb: Large","No","143","48","NA","NA","Fall 2017","NA","-","487995","04243100"
"Alice Lloyd College","100 Purpose Rd, Pippa Passes, Kentucky 41844","www.alc.edu/","4-year, Private not-for-profit","Bachelor's degree","Rural: Remote","Yes","565","565","26%","28%","Fall 2017","$18,066","-","156189","00195100"
"Allan Hancock College","800 South College Drive, Santa Maria, California 93454-6399","www.hancockcollege.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","10329","10329","27%","3%","Fall 2020","$6,701","-","108807","00111100"
"Allegany College of Maryland","12401 Willowbrook Rd SE, Cumberland, Maryland 21502-2596","www.allegany.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","2578","2578","45%","14%","Fall 2020","$9,279","-","161688","00205700"
"Allegheny College","520 N Main St, Meadville, Pennsylvania 16335-3902","https://allegheny.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1353","1353","67%","NA","Fall 2017","$27,929","-","210669","00323000"
"Allegheny Wesleyan College","2161 Woodsdale Rd, Salem, Ohio 44460-9598","awc.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","Rural: Fringe","Yes","86","86","40%","20%","Fall 2017","$7,034","-","200873","03457300"
"Allen College","1990 Heath St, Waterloo, Iowa 50703-1999","www.allencollege.edu/","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","No","497","278","NA","NA","Fall 2017","NA","-","152798","03069100"
"Allen County Community College","1801 N Cottonwood, Iola, Kansas 66749","https://www.allencc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","2007","2007","39%","29%","Fall 2020","$7,760","-","154642","00190100"
"Allen University","1530 Harden Street, Columbia, South Carolina 29204","https://www.allenuniversity.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","Yes","657","603","13%","NA","Fall 2017","$11,058","-","217624","00341700"
"Alliant International University-San Diego","10455 Pomerado Road, San Diego, California 92131","https://www.alliant.edu/","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","3599","274","22%","44%","Fall 2017","NA","-","110468","01111700"
"All-State Career School","50 West Powhattan Avenue, Essington, Pennsylvania 19029","www.allstatecareer.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","838","838","46%","NA","Fall 2020","$19,634","Truck and Bus Driver/Commercial Vehicle Operator and Instructor","210599","02495500"
"Alma College","614 W Superior, Alma, Michigan 48801-1599","www.alma.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","1260","1245","64%","NA","Fall 2017","$24,862","-","168591","00223600"
"Alpena Community College","665 Johnson St, Alpena, Michigan 49707","www.alpenacc.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Town: Remote","Yes","1536","1536","50%","14%","Fall 2017","$4,091","-","168607","00223700"
"Alvernia University","400 Saint Bernardine St, Reading, Pennsylvania 19607-1799","https://www.alvernia.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","2484","2018","58%","31%","Fall 2017","$26,166","-","210775","00323300"
"Alverno College","3400 S 43rd  St, Milwaukee, Wisconsin 53234-3922","https://www.alverno.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","1596","788","51%","NA","Fall 2017","$17,884","-","238193","00383200"
"Alvin Community College","3110 Mustang Rd, Alvin, Texas 77511-4898","www.alvincollege.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","5411","5411","34%","21%","Fall 2020","$5,121","-","222567","00353900"
"Amarillo College","2011 S. Washington, Amarillo, Texas 79109","www.actx.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","8988","8988","31%","12%","Fall 2020","$6,079","-","222576","00354000"
"Amberton University","1700 Eastgate Dr, Garland, Texas 75041-5595","www.amberton.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","No","909","118","NA","NA","Fall 2017","NA","-","222628","02259400"
"Ambria College of Nursing","5210 Trillium Blvd, Hoffman Estates, Illinois 60192","ambria.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","211","211","NA","NA","Fall 2017","NA","Registered Nursing/Registered Nurse","457527","04124700"
